Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
RHartnett, Blank, no dye,0, Blank,-0.0003,0,0,0,NaN,NaN
RHartnett, B-0043-C1-P3-4, no dye,0, Measurement 1,0.2949,0.2478,0.2943,0,29.79686066,17.07030131
RHartnett, B-0043-C1-P3-4, m-cresol added,0, Measurement 2,0.8713,1.0601,0.2951,80,29.79686066,17.07030131
RHartnett, B-0043-C1-P4-2, no dye,0, Measurement 1,0.42,0.3541,0.3898,0,29.79686066,17.07030131
RHartnett, B-0043-C1-P4-2, m-cresol added,0, Measurement 2,1.0151,1.1937,0.3989,80,29.79686066,17.07030131
RHartnett, P-0028-C2-P3-G, no dye,0, Measurement 1,0.1306,0.1088,0.1782,0,29.44935454,15.16657032
RHartnett, P-0028-C2-P3-G, m-cresol added,0, Measurement 2,0.7229,0.9028,0.1841,80,29.44935454,15.16657032
RHartnett, P-0028-C2-P4-D, no dye,0, Measurement 1,0.2296,0.1916,0.2522,0,29.44935454,15.16657032
RHartnett, P-0028-C2-P4-D, m-cresol added,0, Measurement 2,0.809,0.976,0.2489,80,29.44935454,15.16657032
RHartnett, M-0049-C1-P3-1, no dye,0, Measurement 1,0.2621,0.2148,0.2656,0,28.51597223,17.82539592
RHartnett, M-0049-C1-P3-1, m-cresol added,0, Measurement 2,0.8283,1.0392,0.2692,80,28.51597223,17.82539592
RHartnett, M-0049-C1-P4-3, no dye,0, Measurement 1,0.4496,0.3751,0.404,0,28.51597223,17.82539592
RHartnett, M-0049-C1-P4-3, m-cresol added,0, Measurement 2,1.0002,1.1714,0.3988,80,28.51597223,17.82539592
RHartnett, P-0044-C1-P3-C, no dye,0, Measurement 1,0.4635,0.3882,0.4151,0,28.3345449,18.67951342
RHartnett, P-0044-C1-P3-C, m-cresol added,0, Measurement 2,1.04,1.2388,0.4186,80,28.3345449,18.67951342
RHartnett, P-0044-C1-P4-E, no dye,0, Measurement 1,0.7102,0.5957,0.5958,0,28.3345449,18.67951342
RHartnett, P-0044-C1-P4-E, m-cresol added,0, Measurement 2,1.285,1.4395,0.6102,80,28.3345449,18.67951342
