Titration Samples Only,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Method,,,,,,,,,,,,,,,
Method ID,,Alk EQPoint 20201013,,,,"Release state
",,,,Released,,,,,
Name,,Alk EQPoint 20201013,,,,Modified by,,,,SystemInternal,,,,,
Version,,27,,,,,,,,,,,,,
Modified on,,10/13/2020 11:52:07 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Sample ID,,,Name,,,Result,,,,,State,,,
1,SAC-1,,,Sample size,,,51.443 g,,,,,,,,
,,,,pH Start R1,,,-25.500 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.870 mL,,,,,OK,,,
2,SAC-2,,,Sample size,,,51.389 g,,,,,,,,
,,,,pH Start R1,,,-54.700 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.665 mL,,,,,OK,,,
3,SAC-3,,,Sample size,,,51.867 g,,,,,,,,
,,,,pH Start R1,,,-60.500 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.808 mL,,,,,OK,,,
4,P-0077-1-1,,,Sample size,,,53.559 g,,,,,,,,
,,,,pH Start R1,,,-40.100 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.643 mL,,,,,OK,,,
5,P-0077-1-2,,,Sample size,,,52.242 g,,,,,,,,
,,,,pH Start R1,,,-40.800 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.608 mL,,,,,OK,,,
6,P-0077-1-3,,,Sample size,,,53.034 g,,,,,,,,
,,,,pH Start R1,,,-41.400 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.652 mL,,,,,OK,,,
7,P-0077-2-1,,,Sample size,,,52.888 g,,,,,,,,
,,,,pH Start R1,,,-42.100 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.638 mL,,,,,OK,,,
8,P-0077-2-2,,,Sample size,,,52.404 g,,,,,,,,
,,,,pH Start R1,,,-42.600 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.626 mL,,,,,OK,,,
9,P-0077-2-3,,,Sample size,,,52.502 g,,,,,,,,
,,,,pH Start R1,,,-43.200 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.632 mL,,,,,OK,,,
10,P-0077-3-1,,,Sample size,,,53.279 g,,,,,,,,
,,,,pH Start R1,,,-43.600 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.662 mL,,,,,OK,,,
11,P-0077-3-2,,,Sample size,,,53.014 g,,,,,,,,
,,,,pH Start R1,,,-44.000 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.657 mL,,,,,OK,,,
12,P-0077-3-3,,,Sample size,,,51.193 g,,,,,,,,
,,,,pH Start R1,,,-44.700 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.602 mL,,,,,OK,,,
13,BAYSTD1-10132020-1,,,Sample size,,,50.649 g,,,,,,,,
,,,,pH Start R1,,,-48.300 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.546 mL,,,,,OK,,,
14,BAYSTD1-10132020-2,,,Sample size,,,50.158 g,,,,,,,,
,,,,pH Start R1,,,-48.300 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.533 mL,,,,,OK,,,
15,BAYSTD1-10132020-3,,,Sample size,,,52.417 g,,,,,,,,
,,,,pH Start R1,,,-48.500 pH,,,,,OK,,,
,,,,Total HCl R2,,,1.610 mL,,,,,OK,,,
,,,,,,,,,,,,,,,
10/13/2020 7:59:58 PM,,,SystemInternal,,,,,,,,1/1,,,,
,,,,,,,,,,,,,,,
