sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SACRIFICE,58.436,37,25,6.9,7,203.88,232.02
BAYSTD1-02202020-1,59.436,27.53,11.92,6.9,7,203.88,232.02
BAYSTD1-02202020-2,57.542,27.53,11.92,6.9,7,203.88,232.02
BAYSTD1-02202020-3,57.34,27.53,11.92,6.9,7,203.88,232.02
AMB-6-1,47.7,26.7,14.1,6.9,7,203.88,232.02
AMB-6-2,46.351,26.7,14.1,6.9,7,203.88,232.02
AMB-6-3,52.817,26.7,14.1,6.9,7,203.88,232.02
AMB-4-1,47.123,26.6,14.2,6.9,7,203.88,232.02
AMB-4-2,46.69,26.6,14.2,6.9,7,203.88,232.02
AMB-4-3,50.202,26.6,14.2,6.9,7,203.88,232.02
AMB-2-1,46.052,26.3,14.6,6.9,7,203.88,232.02
AMB-2-2,50.073,26.3,14.6,6.9,7,203.88,232.02
AMB-2-3,46.296,26.3,14.6,6.9,7,203.88,232.02
BAYSTD1-02202020-4,54.573,27.53,11.92,6.9,7,203.88,232.02
BAYSTD1-02202020-5,54.13,27.53,11.92,6.9,7,203.88,232.02
BAYSTD1-02202020-6,51.131,27.53,11.92,6.9,7,203.88,232.02
CRM186-02202020-1,48.138,33.525,25,6.9,7,203.88,232.02
CRM186-02202020-2,47.542,33.525,25,6.9,7,203.88,232.02
CRM186-02202020-3,46.955,33.525,25,6.9,7,203.88,232.02
